dataset,folder_url,source_file,member_file,kind,path,types,occurrences,position,read_status,example
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].enablementMinimum,number,156,,plateau,80.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].enablementMinimumValueUsed,number,156,,plateau,80.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].facilityCode,string,156,,plateau,KEMERTON_GT11
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].highBreakpoint,number,156,,plateau,157.789
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].highBreakpointValueUsed,number,156,,plateau,157.789
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].lowBreakpoint,number,156,,plateau,156.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].lowBreakpointValueUsed,number,156,,plateau,156.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].maximumCapacity,number,156,,plateau,76.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].submissionCode,string,156,,plateau,market
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].submissionId,string,156,,plateau,29ab1efe-e64a-4384-945c-5dc5d9982c99
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].tranches,array,156,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].tranches[],object,300,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].tranches[].capacityType,string,300,,plateau,AVAILABLE
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].tranches[].fuelType,string,300,,plateau,NOT APPLICABLE
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].markets.contingencyLower.facilities[].tranches[].lfaPrice,number,300,,plateau,0.0
